,City Id,City Name,Country,Latitude,Longitude,Datetime,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed
0,964432,Port Alfred,ZA,-33.59,26.89,1603691397,68.4,79,97,16.58
1,2377457,Nouadhibou,MR,20.93,-17.03,1603691397,71.6,68,0,19.46
2,2155415,New Norfolk,AU,-42.78,147.06,1603691397,57.99,49,0,1.99
3,5122534,Jamestown,US,42.1,-79.24,1603691230,44.01,93,90,9.17
4,1106677,Bambous Virieux,MU,-20.34,57.76,1603691176,78.8,65,40,18.34
5,5106841,Albany,US,42.6,-73.97,1603691099,42.01,62,64,5.95
6,5866583,Saint Paul Harbor,US,57.79,-152.41,1603691352,46.4,93,90,9.17
7,2618795,Klaksvík,FO,62.23,-6.59,1603691398,42.8,93,24,13.87
8,5815539,West Lake Stevens,US,47.99,-122.1,1603691277,34.0,86,1,1.59
9,1263300,Mauganj,IN,24.68,81.88,1603691399,86.85,35,0,3.44
10,3407762,Amapá,BR,1.0,-52.0,1603691399,71.51,98,0,1.54
11,2173911,Broken Hill,AU,-31.95,141.43,1603691399,62.6,42,75,12.75
12,5557293,Sitka,US,57.05,-135.33,1603691243,46.4,81,90,10.29
13,6201424,Mataura,NZ,-46.19,168.86,1603691399,55.0,60,43,7.0
14,3421193,Paamiut,GL,61.99,-49.67,1603691400,36.01,84,100,9.46
15,2075265,Busselton,AU,-33.65,115.33,1603691400,73.99,65,0,3.0
16,933995,Souillac,MU,-20.52,57.52,1603691400,78.8,65,40,18.34
17,2737268,Mozelos,PT,41.87,-8.4,1603691400,48.0,100,75,6.93
18,336454,Ginir,ET,7.13,40.7,1603691401,66.16,67,5,3.58
19,2264557,Ponta do Sol,PT,32.67,-17.1,1603691401,66.2,77,20,6.93
20,2036973,Heihe,CN,50.24,127.49,1603691401,50.0,39,0,4.47
21,3874787,Punta Arenas,CL,-53.15,-70.92,1603691156,44.6,87,75,5.82
22,2163355,Hobart,AU,-42.88,147.33,1603691257,57.99,54,75,13.87
23,2180815,Tuatapere,NZ,-46.13,167.68,1603691402,55.0,60,18,7.0
24,1819729,Hong Kong,HK,22.29,114.16,1603691402,80.01,61,42,11.99
25,6170031,Tuktoyaktuk,CA,69.45,-133.04,1603691403,14.0,85,90,9.17
26,2022572,Khatanga,RU,71.97,102.5,1603691403,6.3,95,96,10.78
27,1507390,Dikson,RU,73.51,80.55,1603691403,22.48,97,100,6.22
28,3401148,Cururupu,BR,-1.83,-44.87,1603691403,75.45,92,56,2.89
29,3883457,Lebu,CL,-37.62,-73.65,1603691404,45.57,81,3,4.18
30,1651810,Airai,TL,-8.93,125.41,1603691404,75.25,69,95,2.21
31,4030556,Rikitea,PF,-23.12,-134.97,1603691405,74.8,83,100,18.95
32,516875,Novyy Rogachik,RU,48.68,44.06,1603691405,37.4,100,90,6.71
33,2206939,Bluff,NZ,-46.6,168.33,1603691405,55.0,60,19,7.0
